node_id,node_name,connected_node_id,connected_node_name,transit_time_hrs,load_unload_time_hrs,wait_time_hrs,transport_cost_per_kg,distance_km,parcel_priority,vehicle_availability_hrs,parcel_type,weather_impact_delay_hrs,traffic_data_delay_hrs,mode_of_transport
1,Harraiya,2,Basti,4.0,1.0,0.5,10,50,Express,6:00-22:00,Fragile,0.25,0.5,Road
2,Basti,3,Lucknow,5.0,1.0,1.0,12,203,Standard,6:00-22:00,Standard,0.5,1.0,Road
3,Lucknow,4,Jhansi,7.0,1.5,2.0,15,330,Economy,7:00-20:00,Hazardous,0.0,1.5,Rail
4,Jhansi,5,Bhopal,6.0,1.0,1.5,13,353,Express,5:00-21:00,Fragile,1.0,0.75,Road
5,Bhopal,6,Sehore,2.0,1.0,0.5,8,39,Standard,8:00-18:00,Standard,0.25,0.5,Road
6,Sehore,7,Kothri,1.5,1.0,0.25,6,22,Economy,9:00-17:00,Fragile,0.0,0.25,Road
7,Kothri,8,Indore,4.0,1.0,0.5,9,195,Standard,8:00-18:00,Fragile,0.5,0.75,Road
8,Indore,9,Ahmedabad,8.0,1.5,2.0,20,402,Economy,6:00-22:00,Standard,1.0,1.25,Road
9,Ahmedabad,10,Surat,2.5,1.0,0.25,7,263,Express,5:00-21:00,Fragile,0.0,0.5,Road
10,Surat,11,Mumbai,3.0,1.0,1.0,10,289,Standard,6:00-20:00,Hazardous,0.5,1.0,Road
11,Mumbai,12,Pune,2.0,1.0,0.5,6,148,Economy,7:00-19:00,Standard,0.25,0.75,Road
12,Pune,13,Hyderabad,10.0,2.0,3.0,18,566,Express,6:00-22:00,Fragile,1.0,1.5,Air
13,Hyderabad,14,Bengaluru,9.0,2.0,2.0,20,577,Standard,8:00-18:00,Hazardous,0.75,1.25,Road
14,Bengaluru,15,Chennai,5.0,1.0,1.0,13,347,Economy,9:00-17:00,Standard,0.25,0.5,Rail
15,Chennai,16,Kochi,6.0,1.0,1.5,15,679,Express,5:00-21:00,Fragile,1.0,1.0,Air
16,Kochi,17,Thiruvananthapuram,3.0,1.0,0.75,10,206,Standard,8:00-18:00,Standard,0.0,0.25,Road
17,Thiruvananthapuram,18,Madurai,4.0,1.0,0.5,12,298,Economy,7:00-19:00,Hazardous,0.25,0.75,Road
18,Madurai,19,Tiruchirappalli,2.0,1.0,0.25,8,138,Standard,8:00-18:00,Standard,0.0,0.5,Road
19,Tiruchirappalli,20,Coimbatore,3.0,1.0,0.75,10,202,Express,6:00-22:00,Fragile,0.5,1.0,Road
20,Coimbatore,21,Mysore,5.0,1.0,1.0,14,351,Standard,7:00-19:00,Hazardous,0.75,1.25,Rail
21,Mysore,22,Mangalore,3.0,1.0,0.5,9,255,Economy,9:00-17:00,Standard,0.25,0.5,Road
22,Mangalore,23,Goa,4.0,1.0,0.75,11,360,Express,5:00-21:00,Fragile,1.0,0.75,Road
23,Goa,24,Pune,5.0,1.0,1.0,13,448,Standard,8:00-18:00,Standard,0.5,1.0,Road
24,Pune,25,Nashik,3.0,1.0,0.5,9,211,Economy,7:00-19:00,Hazardous,0.25,0.5,Road
25,Nashik,26,Indore,6.0,1.0,1.0,15,399,Express,6:00-22:00,Fragile,0.75,1.25,Rail
